c000001,c000002,c000003,c000004,c000005,c000006,c000007
0.0464716742,0.712259233,0.2559695244,0.3925080597,0.5120324492,0.0093742246,0.3279347122
0.0465306077,0.7122605443,0.2559657395,0.3925091624,0.512029469,0.0093798693,0.3279322088
0.046734226,0.7122583389,0.2559632957,0.3925105035,0.5120289326,0.0093673384,0.3279426992
0.0468345453,0.7122607827,0.2559646666,0.3925082386,0.5120299459,0.0093640592,0.3279386759
0.046901756,0.7122573256,0.2559593618,0.3925088346,0.5120290518,0.0093632806,0.327940166
0.0469640003,0.7122581005,0.2559623122,0.3925120831,0.5120345354,0.0093748057,0.3279391527
0.0470249202,0.7122605443,0.2559650838,0.3925061822,0.5120330453,0.0093689468,0.327938199
0.0470855091,0.7122606039,0.2559643388,0.3925064802,0.5120356083,0.0093809888,0.3279333711
0.0471454358,0.7122617364,0.2559692264,0.3925040662,0.5120322108,0.0093773874,0.3279342651
0.0472060247,0.7122559547,0.2559656799,0.3925054371,0.5120269656,0.0093699731,0.3279381692
0.0472652893,0.7122570276,0.2559662759,0.3925086558,0.5120304227,0.0093802838,0.3279353976
0.0473248849,0.7122575045,0.2559657097,0.3925091028,0.5120289922,0.0093639903,0.3279391527
0.0473844805,0.7122579813,0.2559573352,0.3925099671,0.5120335817,0.009371249,0.3279373646
0.0474440761,0.7122597694,0.2559574544,0.3925092518,0.5120286942,0.0093795443,0.3279352188
0.0475030096,0.7122583389,0.2559649646,0.3925069571,0.5120320916,0.0093729757,0.3279381692
0.0475622741,0.7122604847,0.2559679449,0.3925070465,0.51203233,0.0093713105,0.3279373348
0.0476258428,0.7122582197,0.2559655309,0.3925049007,0.51203233,0.0093787415,0.3279388845
0.0476854384,0.7122605443,0.2559655011,0.3925047219,0.5120318532,0.009372876,0.327937752
0.0477443719,0.7122576237,0.2559709549,0.3925036192,0.51203233,0.009382531,0.3279345632
0.0478029742,0.7122582197,0.2559677064,0.392506361,0.5120263696,0.0093668746,0.3279390335
0.0478619077,0.7122572064,0.2559619844,0.3925087154,0.5120300651,0.0093809031,0.3279337287
0.0479211722,0.71225667,0.2559663355,0.3925057948,0.5120319128,0.0093838219,0.3279342949
0.0479801057,0.7122548819,0.2559709251,0.3925043344,0.5120314956,0.0093886405,0.3279312551
0.0480390391,0.71225667,0.255964905,0.3925022185,0.5120300055,0.0093905414,0.3279333413
0.0480986347,0.7122581601,0.2559639812,0.3925046325,0.5120304823,0.0093707573,0.3279354274
0.0481578993,0.7122589946,0.2559607923,0.3925050497,0.5120305419,0.0093898345,0.3279365897
0.048217826,0.7122583985,0.2559675872,0.392505765,0.5120292902,0.0093827657,0.3279285729
0.0482767594,0.7121998668,0.2559785843,0.3925174475,0.5120283961,0.009374056,0.3279384971
0.0512191278,0.7119815946,0.2560715079,0.3924965858,0.5120301843,0.0093686488,0.32793957
0.0554497549,0.7118115425,0.256333977,0.3924027681,0.5120298266,0.0093700029,0.3279397786
0.0595767519,0.7118214369,0.2568677664,0.3922036886,0.5120337009,0.009372063,0.3279366195
0.0637269249,0.7117959857,0.257766515,0.3918710351,0.5120338798,0.0093916971,0.3279336393
0.0678863684,0.7116572857,0.2592016459,0.391313225,0.512032032,0.0093713161,0.3279398978
0.0720832246,0.7114783525,0.2611981332,0.3905308843,0.5120281577,0.0093858549,0.327932924
0.0762330666,0.7113364339,0.2637773454,0.3896143734,0.5120316744,0.0093746139,0.3279364109
0.0804017805,0.7111036777,0.2667571008,0.3887600601,0.5120307803,0.0093691312,0.3279391229
0.0845718187,0.7108464837,0.2700022161,0.3879942596,0.5120347142,0.0093809012,0.3279333413
0.0887521206,0.7106930614,0.2734533548,0.38724944,0.5120341778,0.0093747079,0.3279373646
0.0929118952,0.7104606628,0.2771960497,0.3865103722,0.512031734,0.0093798675,0.3279379606
0.0970617371,0.7101849914,0.281070739,0.3858231902,0.5120255947,0.0093790311,0.3279344141
0.1012105858,0.7099862099,0.2850381434,0.3851313293,0.5120262504,0.009376646,0.3279394209
0.1053985027,0.7098311782,0.2891663313,0.3844347,0.5120273829,0.0093697738,0.3279397786
0.1097188543,0.7096469402,0.2933333516,0.3836856782,0.5120274425,0.0093643991,0.3279441595
0.1137296398,0.7094556093,0.2975811958,0.382940799,0.5120257139,0.0093726851,0.3279385567
0.1178847791,0.709271431,0.3018747568,0.3822311461,0.5120281577,0.0093853408,0.3279365599
0.1221130887,0.7091693282,0.3062518239,0.3814488351,0.5120248199,0.0093780272,0.3279371262
0.1262394234,0.7090758085,0.3106807768,0.3806325197,0.5120310187,0.0093774907,0.3279383183
0.1303985358,0.7088874578,0.3151379824,0.3797686398,0.5120309591,0.0093808277,0.3279366791
0.134541756,0.7086471319,0.3196872175,0.3788222671,0.5120333433,0.0093773045,0.3279381692
0.1387571531,0.7085229158,0.3242704868,0.3778114617,0.5120347738,0.009376985,0.327937901
0.1428811703,0.708440423,0.3289544284,0.3767077625,0.5120344758,0.0093565565,0.3279374242
0.1470548505,0.7083266377,0.3336657584,0.3755152225,0.5120307803,0.0093692923,0.3279386759
0.1512152872,0.7081258297,0.3384076953,0.374263674,0.5120384097,0.0093727028,0.3279362917
0.1554094948,0.707955718,0.3432382941,0.3729074001,0.5120356083,0.0093829194,0.3279365599
0.1596192634,0.7078500986,0.3481150866,0.3714415431,0.512034297,0.0093912715,0.327934891
0.1637604971,0.7077670097,0.3530524671,0.3698536456,0.5120320916,0.0093812784,0.3279327154
0.1678954401,0.7076719999,0.3580290079,0.3681353927,0.5120300651,0.0093876813,0.3279302716
0.1721350066,0.7075480819,0.3630577326,0.3663471341,0.5120288134,0.0093757939,0.3279355466
0.1761901577,0.707403481,0.3681234717,0.3644819558,0.5120297074,0.0093851211,0.3279326558
0.1803873451,0.7072854638,0.373251766,0.3625342548,0.512026906,0.0093667554,0.3279370368
0.1845553968,0.7072328925,0.3783620298,0.3605237603,0.5120285153,0.0093793748,0.327937603
0.188775098,0.7071726322,0.3835408688,0.3584834039,0.5120317936,0.0093764765,0.3279365599
0.1928915002,0.7070826292,0.3887502849,0.3564248681,0.5120301247,0.0093804197,0.3279349506
0.1970552478,0.706992805,0.3939229846,0.3543485105,0.512031436,0.0093619805,0.3279421628
0.2012319078,0.7070855498,0.3991893232,0.3524127007,0.5120295286,0.0093680602,0.327942729
0.2054691566,0.7073972821,0.4045448601,0.3505232036,0.5120311975,0.0093798339,0.3279367089
0.2095246388,0.7079485655,0.4099505544,0.3485989869,0.5120347142,0.0093803499,0.3279379904
0.2137118936,0.7087144852,0.4154605269,0.3470699489,0.5120317936,0.0093781156,0.327934742
0.217878952,0.7095553279,0.4209840596,0.3458144665,0.5120251775,0.0093896007,0.3279325962
0.2221142144,0.7103247643,0.4264504611,0.3451021612,0.5120319724,0.0093816137,0.3279344141
0.2262124067,0.7110412121,0.4318705499,0.3447878659,0.5120254159,0.009387183,0.3279345334
0.2303831072,0.7117797136,0.4371846914,0.3447720408,0.5120254755,0.0093781622,0.3279359639
0.2345567873,0.7126136422,0.442348361,0.3449599147,0.5120292902,0.0093677696,0.327940017
0.2387523193,0.7135394812,0.4473129511,0.3451202512,0.5120308995,0.0093589304,0.327945739
0.2428968638,0.7144255638,0.4521377683,0.3451682329,0.5120329857,0.009353417,0.3279402554
0.2470457125,0.7152205706,0.4568488896,0.3450107276,0.5120311379,0.0093447929,0.3279445767
0.2512074736,0.7155974507,0.4614724219,0.3445887864,0.5120334625,0.0093566747,0.327943027
